ANN_model,digit_Ab,iteration,k,L,accuracy,TNrate,recall,f1,precision,time,metric
1,1,0,1,1,0.943,0.97,0.43,0.43,0.43,4.451753139,Projection Distance
1,1,0,1,2,0.943,0.97,0.43,0.43,0.43,4.451886654,Projection Distance
1,1,0,2,1,0.949666667,0.973508772,0.496666667,0.496666667,0.496666667,4.697634459,Projection Distance
1,1,0,2,2,0.94,0.968421053,0.4,0.4,0.4,4.698783636,Projection Distance
1,1,0,3,1,0.979,0.988947368,0.79,0.79,0.79,4.638379574,Projection Distance
1,1,0,3,2,0.966333333,0.982280702,0.663333333,0.663333333,0.663333333,4.638872147,Projection Distance
1,1,0,4,1,0.965,0.981578947,0.65,0.65,0.65,4.699734688,Projection Distance
1,1,0,4,2,0.958333333,0.978070175,0.583333333,0.583333333,0.583333333,4.700339556,Projection Distance
1,1,0,5,1,0.948,0.972631579,0.48,0.48,0.48,4.700506687,Projection Distance
1,1,0,5,2,0.962,0.98,0.62,0.62,0.62,4.700540304,Projection Distance
1,1,0,6,1,0.951333333,0.974385965,0.513333333,0.513333333,0.513333333,4.645189285,Projection Distance
1,1,0,6,2,0.967333333,0.982807018,0.673333333,0.673333333,0.673333333,4.645513296,Projection Distance
1,1,0,7,1,0.978333333,0.988596491,0.783333333,0.783333333,0.783333333,4.716519833,Projection Distance
1,1,0,7,2,0.971333333,0.984912281,0.713333333,0.713333333,0.713333333,4.715846777,Projection Distance
1,1,0,8,1,0.932666667,0.964561404,0.326666667,0.326666667,0.326666667,4.602641344,Projection Distance
1,1,0,8,2,0.951,0.974210526,0.51,0.51,0.51,4.602385044,Projection Distance
1,1,0,9,1,0.938,0.967368421,0.38,0.38,0.38,4.776527166,Projection Distance
1,1,0,9,2,0.950666667,0.974035088,0.506666667,0.506666667,0.506666667,4.777383804,Projection Distance
1,1,0,10,1,0.944666667,0.970877193,0.446666667,0.446666667,0.446666667,4.950385809,Projection Distance
1,1,0,10,2,0.947,0.972105263,0.47,0.47,0.47,4.950449944,Projection Distance
1,1,1,1,1,0.952333333,0.974912281,0.523333333,0.523333333,0.523333333,4.146373749,Projection Distance
1,1,1,1,2,0.952333333,0.974912281,0.523333333,0.523333333,0.523333333,4.145364523,Projection Distance
1,1,1,2,1,0.966,0.982105263,0.66,0.66,0.66,4.601459026,Projection Distance
1,1,1,2,2,0.961666667,0.979824561,0.616666667,0.616666667,0.616666667,4.601696491,Projection Distance
1,1,1,3,1,0.968333333,0.983333333,0.683333333,0.683333333,0.683333333,4.853694916,Projection Distance
1,1,1,3,2,0.976666667,0.987719298,0.766666667,0.766666667,0.766666667,4.854214907,Projection Distance
1,1,1,4,1,0.958666667,0.978245614,0.586666667,0.586666667,0.586666667,4.644223928,Projection Distance
1,1,1,4,2,0.944333333,0.970701754,0.443333333,0.443333333,0.443333333,4.644408464,Projection Distance
1,1,1,5,1,0.955,0.976315789,0.55,0.55,0.55,4.715411663,Projection Distance
1,1,1,5,2,0.968666667,0.983508772,0.686666667,0.686666667,0.686666667,4.71544838,Projection Distance
1,1,1,6,1,0.931333333,0.963859649,0.313333333,0.313333333,0.313333333,4.640603781,Projection Distance
1,1,1,6,2,0.948666667,0.972982456,0.486666667,0.486666667,0.486666667,4.640968323,Projection Distance
1,1,1,7,1,0.921666667,0.95877193,0.216666667,0.216666667,0.216666667,4.673867702,Projection Distance
1,1,1,7,2,0.944333333,0.970701754,0.443333333,0.443333333,0.443333333,4.674018145,Projection Distance
1,1,1,8,1,0.986333333,0.992807018,0.863333333,0.863333333,0.863333333,4.682975292,Projection Distance
1,1,1,8,2,0.989666667,0.994561404,0.896666667,0.896666667,0.896666667,4.684192181,Projection Distance
1,1,1,9,1,0.968333333,0.983333333,0.683333333,0.683333333,0.683333333,4.775781155,Projection Distance
1,1,1,9,2,0.965666667,0.981929825,0.656666667,0.656666667,0.656666667,4.775223732,Projection Distance
1,1,1,10,1,0.953,0.975263158,0.53,0.53,0.53,4.924207449,Projection Distance
1,1,1,10,2,0.937,0.966842105,0.37,0.37,0.37,4.924956799,Projection Distance
1,1,2,1,1,0.949666667,0.973508772,0.496666667,0.496666667,0.496666667,4.160303831,Projection Distance
1,1,2,1,2,0.949666667,0.973508772,0.496666667,0.496666667,0.496666667,4.160562992,Projection Distance
1,1,2,2,1,0.951666667,0.974561404,0.516666667,0.516666667,0.516666667,4.667457104,Projection Distance
1,1,2,2,2,0.947333333,0.972280702,0.473333333,0.473333333,0.473333333,4.667542696,Projection Distance
1,1,2,3,1,0.965666667,0.981929825,0.656666667,0.656666667,0.656666667,4.695539474,Projection Distance
1,1,2,3,2,0.959333333,0.978596491,0.593333333,0.593333333,0.593333333,4.696288586,Projection Distance
1,1,2,4,1,0.959333333,0.978596491,0.593333333,0.593333333,0.593333333,4.714868307,Projection Distance
1,1,2,4,2,0.942333333,0.969649123,0.423333333,0.423333333,0.423333333,4.715126276,Projection Distance
1,1,2,5,1,0.993333333,0.996491228,0.933333333,0.933333333,0.933333333,4.668014765,Projection Distance
1,1,2,5,2,0.989333333,0.994385965,0.893333333,0.893333333,0.893333333,4.668293238,Projection Distance
1,1,2,6,1,0.986333333,0.992807018,0.863333333,0.863333333,0.863333333,4.638552427,Projection Distance
1,1,2,6,2,0.97,0.984210526,0.7,0.7,0.7,4.63892889,Projection Distance
1,1,2,7,1,0.953,0.975263158,0.53,0.53,0.53,5.018117428,Projection Distance
1,1,2,7,2,0.97,0.984210526,0.7,0.7,0.7,5.018751621,Projection Distance
1,1,2,8,1,0.97,0.984210526,0.7,0.7,0.7,4.762015581,Projection Distance
1,1,2,8,2,0.977,0.987894737,0.77,0.77,0.77,4.762413025,Projection Distance
1,1,2,9,1,0.968333333,0.983333333,0.683333333,0.683333333,0.683333333,4.90237999,Projection Distance
1,1,2,9,2,0.939666667,0.968245614,0.396666667,0.396666667,0.396666667,4.901043415,Projection Distance
1,1,2,10,1,0.920333333,0.958070175,0.203333333,0.203333333,0.203333333,4.989348412,Projection Distance
1,1,2,10,2,0.937333333,0.967017544,0.373333333,0.373333333,0.373333333,4.987765789,Projection Distance
1,1,3,1,1,0.947333333,0.972280702,0.473333333,0.473333333,0.473333333,4.230940342,Projection Distance
1,1,3,1,2,0.947333333,0.972280702,0.473333333,0.473333333,0.473333333,4.236203909,Projection Distance
1,1,3,2,1,0.946333333,0.971754386,0.463333333,0.463333333,0.463333333,4.668489456,Projection Distance
1,1,3,2,2,0.942333333,0.969649123,0.423333333,0.423333333,0.423333333,4.671090126,Projection Distance
1,1,3,3,1,0.994666667,0.997192982,0.946666667,0.946666667,0.946666667,4.6079669,Projection Distance
1,1,3,3,2,0.994666667,0.997192982,0.946666667,0.946666667,0.946666667,4.608389378,Projection Distance
1,1,3,4,1,0.984666667,0.991929825,0.846666667,0.846666667,0.846666667,4.719188213,Projection Distance
1,1,3,4,2,0.983,0.991052632,0.83,0.83,0.83,4.719898224,Projection Distance
1,1,3,5,1,0.941333333,0.969122807,0.413333333,0.413333333,0.413333333,4.67038393,Projection Distance
1,1,3,5,2,0.941,0.968947368,0.41,0.41,0.41,4.670267582,Projection Distance
1,1,3,6,1,0.928333333,0.962280702,0.283333333,0.283333333,0.283333333,4.66283536,Projection Distance
1,1,3,6,2,0.963666667,0.980877193,0.636666667,0.636666667,0.636666667,4.663300514,Projection Distance
1,1,3,7,1,0.97,0.984210526,0.7,0.7,0.7,4.746712208,Projection Distance
1,1,3,7,2,0.968333333,0.983333333,0.683333333,0.683333333,0.683333333,4.746543884,Projection Distance
1,1,3,8,1,0.950333333,0.973859649,0.503333333,0.503333333,0.503333333,4.628180742,Projection Distance
1,1,3,8,2,0.942666667,0.969824561,0.426666667,0.426666667,0.426666667,4.631347656,Projection Distance
1,1,3,9,1,0.932,0.964210526,0.32,0.32,0.32,4.774244308,Projection Distance
1,1,3,9,2,0.934333333,0.965438596,0.343333333,0.343333333,0.343333333,4.773167133,Projection Distance
1,1,3,10,1,0.941333333,0.969122807,0.413333333,0.413333333,0.413333333,5.054362297,Projection Distance
1,1,3,10,2,0.949666667,0.973508772,0.496666667,0.496666667,0.496666667,5.054106951,Projection Distance
1,1,4,1,1,0.951666667,0.974561404,0.516666667,0.516666667,0.516666667,4.631946802,Projection Distance
