digit_Ab,iteration,k,FPrate,accuracy,f1,precision,recall,time
6,0,1,0.05105263157894737,0.903,0.03,0.03,0.03,0.4278080463409424
6,0,2,0.03543859649122807,0.9326666666666666,0.32666666666666666,0.32666666666666666,0.32666666666666666,0.3627638816833496
6,0,3,0.028771929824561403,0.9453333333333334,0.4533333333333333,0.4533333333333333,0.4533333333333333,0.3862040042877197
6,0,4,0.034035087719298245,0.9353333333333333,0.35333333333333333,0.35333333333333333,0.35333333333333333,0.4355888366699219
6,0,5,0.02912280701754386,0.9446666666666667,0.44666666666666666,0.44666666666666666,0.44666666666666666,0.3827190399169922
6,0,6,0.034736842105263156,0.934,0.34,0.34,0.34,0.45267295837402344
6,0,7,0.03280701754385965,0.9376666666666666,0.37666666666666665,0.37666666666666665,0.37666666666666665,0.4188663959503174
6,0,8,0.03385964912280702,0.9356666666666666,0.35666666666666674,0.3566666666666667,0.3566666666666667,0.43446779251098633
6,0,9,0.035263157894736843,0.933,0.33,0.33,0.33,0.4770948886871338
6,0,10,0.0356140350877193,0.9323333333333333,0.3233333333333333,0.3233333333333333,0.3233333333333333,0.4423232078552246
6,0,11,0.03508771929824561,0.9333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5034623146057129
6,0,12,0.0356140350877193,0.9323333333333333,0.3233333333333333,0.3233333333333333,0.3233333333333333,0.48864006996154785
6,0,13,0.03684210526315789,0.93,0.3,0.3,0.3,0.4582369327545166
6,0,14,0.03684210526315789,0.93,0.3,0.3,0.3,0.515510082244873
6,0,15,0.035964912280701755,0.9316666666666666,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.48106884956359863
6,0,16,0.035964912280701755,0.9316666666666666,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.4860978126525879
6,0,32,0.03631578947368421,0.931,0.31,0.31,0.31,0.6668312549591064
6,0,64,0.03631578947368421,0.931,0.31,0.31,0.31,1.123378038406372
6,0,128,0.035964912280701755,0.9316666666666666,0.31666666666666665,0.31666666666666665,0.31666666666666665,1.429574728012085
6,0,256,0.03929824561403509,0.9253333333333333,0.25333333333333335,0.25333333333333335,0.25333333333333335,2.4979989528656006
6,0,512,0.04070175438596491,0.9226666666666666,0.22666666666666666,0.22666666666666666,0.22666666666666666,4.641953945159912
6,0,784,0.04982456140350877,0.9053333333333333,0.053333333333333344,0.05333333333333334,0.05333333333333334,4.546977996826172
6,1,1,0.04842105263157895,0.908,0.08,0.08,0.08,0.38895630836486816
6,1,2,0.03333333333333333,0.9366666666666666,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.3987739086151123
6,1,3,0.027719298245614036,0.9473333333333334,0.47333333333333333,0.47333333333333333,0.47333333333333333,0.421245813369751
6,1,4,0.03385964912280702,0.9356666666666666,0.35666666666666674,0.3566666666666667,0.3566666666666667,0.40007925033569336
6,1,5,0.029473684210526315,0.944,0.44,0.44,0.44,0.4651000499725342
6,1,6,0.0343859649122807,0.9346666666666666,0.3466666666666667,0.3466666666666667,0.3466666666666667,0.589332103729248
6,1,7,0.032105263157894734,0.939,0.39,0.39,0.39,0.5405459403991699
6,1,8,0.031578947368421054,0.94,0.4000000000000001,0.4,0.4,0.5295450687408447
6,1,9,0.034210526315789476,0.935,0.35,0.35,0.35,0.4890260696411133
6,1,10,0.03684210526315789,0.93,0.3,0.3,0.3,0.534761905670166
6,1,11,0.037192982456140354,0.9293333333333333,0.29333333333333333,0.29333333333333333,0.29333333333333333,0.5621449947357178
6,1,12,0.03701754385964912,0.9296666666666666,0.2966666666666667,0.2966666666666667,0.2966666666666667,0.4970250129699707
6,1,13,0.03701754385964912,0.9296666666666666,0.2966666666666667,0.2966666666666667,0.2966666666666667,0.6653950214385986
6,1,14,0.03807017543859649,0.9276666666666666,0.27666666666666667,0.27666666666666667,0.27666666666666667,0.5474889278411865
6,1,15,0.03754385964912281,0.9286666666666666,0.2866666666666667,0.2866666666666667,0.2866666666666667,0.5715141296386719
6,1,16,0.03701754385964912,0.9296666666666666,0.2966666666666667,0.2966666666666667,0.2966666666666667,0.5160677433013916
6,1,32,0.03912280701754386,0.9256666666666666,0.25666666666666665,0.25666666666666665,0.25666666666666665,0.6253256797790527
6,1,64,0.03824561403508772,0.9273333333333333,0.2733333333333333,0.2733333333333333,0.2733333333333333,0.8645551204681396
6,1,128,0.03807017543859649,0.9276666666666666,0.27666666666666667,0.27666666666666667,0.27666666666666667,1.1081290245056152
6,1,256,0.0412280701754386,0.9216666666666666,0.21666666666666667,0.21666666666666667,0.21666666666666667,1.7593629360198975
6,1,512,0.04263157894736842,0.919,0.19,0.19,0.19,3.4808807373046875
6,1,784,0.05035087719298246,0.9043333333333333,0.043333333333333335,0.043333333333333335,0.043333333333333335,3.4943268299102783
6,2,1,0.04964912280701755,0.9056666666666666,0.056666666666666664,0.056666666666666664,0.056666666666666664,0.384357213973999
6,2,2,0.03666666666666667,0.9303333333333333,0.30333333333333334,0.30333333333333334,0.30333333333333334,0.3848741054534912
6,2,3,0.028596491228070176,0.9456666666666667,0.45666666666666667,0.45666666666666667,0.45666666666666667,0.3961818218231201
6,2,4,0.03491228070175439,0.9336666666666666,0.33666666666666667,0.33666666666666667,0.33666666666666667,0.39328789710998535
6,2,5,0.028771929824561403,0.9453333333333334,0.4533333333333333,0.4533333333333333,0.4533333333333333,0.3998849391937256
6,2,6,0.03456140350877193,0.9343333333333333,0.3433333333333333,0.3433333333333333,0.3433333333333333,0.4323079586029053
6,2,7,0.03298245614035088,0.9373333333333334,0.37333333333333335,0.37333333333333335,0.37333333333333335,0.4452857971191406
6,2,8,0.03263157894736842,0.938,0.38,0.38,0.38,0.4614882469177246
6,2,9,0.035263157894736843,0.933,0.33,0.33,0.33,0.438737154006958
6,2,10,0.035789473684210524,0.932,0.32,0.32,0.32,0.5038149356842041
6,2,11,0.03508771929824561,0.9333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4671008586883545
6,2,12,0.034210526315789476,0.935,0.35,0.35,0.35,0.64215087890625
6,2,13,0.03508771929824561,0.9333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.501171350479126
6,2,14,0.03543859649122807,0.9326666666666666,0.32666666666666666,0.32666666666666666,0.32666666666666666,0.5060508251190186
6,2,15,0.03508771929824561,0.9333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5718531608581543
