ANN_model,digit_Ab,iteration,k,L,accuracy,TNrate,recall,f1,precision,time,metric
1,2,0,1,1,0.9566666666666667,0.9771929824561404,0.5666666666666667,0.5666666666666667,0.5666666666666667,4.533552646636963,Construction Error
1,2,0,1,2,0.932,0.9642105263157895,0.32,0.32,0.32,4.534320831298828,Construction Error
1,2,0,2,1,0.966,0.9821052631578947,0.66,0.66,0.66,4.704512596130371,Construction Error
1,2,0,2,2,0.9456666666666667,0.9714035087719298,0.45666666666666667,0.45666666666666667,0.45666666666666667,4.705510139465332,Construction Error
1,2,0,3,1,0.966,0.9821052631578947,0.66,0.66,0.66,4.685150623321533,Construction Error
1,2,0,3,2,0.9493333333333334,0.9733333333333334,0.49333333333333335,0.4933333333333334,0.49333333333333335,4.679375886917114,Construction Error
1,2,0,4,1,0.9743333333333334,0.9864912280701754,0.7433333333333333,0.7433333333333333,0.7433333333333333,4.7096569538116455,Construction Error
1,2,0,4,2,0.9576666666666667,0.977719298245614,0.5766666666666667,0.5766666666666667,0.5766666666666667,4.703320026397705,Construction Error
1,2,0,5,1,0.969,0.9836842105263158,0.69,0.69,0.69,4.761770009994507,Construction Error
1,2,0,5,2,0.9556666666666667,0.9766666666666667,0.5566666666666666,0.5566666666666666,0.5566666666666666,4.755795478820801,Construction Error
1,2,0,6,1,0.9663333333333334,0.982280701754386,0.6633333333333333,0.6633333333333333,0.6633333333333333,4.68183159828186,Construction Error
1,2,0,6,2,0.9593333333333334,0.9785964912280701,0.5933333333333334,0.5933333333333334,0.5933333333333334,4.676564693450928,Construction Error
1,2,0,7,1,0.9606666666666667,0.9792982456140351,0.6066666666666667,0.6066666666666667,0.6066666666666667,4.665745973587036,Construction Error
1,2,0,7,2,0.9583333333333334,0.9780701754385965,0.5833333333333334,0.5833333333333334,0.5833333333333334,4.660711050033569,Construction Error
1,2,0,8,1,0.9553333333333334,0.9764912280701754,0.5533333333333333,0.5533333333333333,0.5533333333333333,4.703233242034912,Construction Error
1,2,0,8,2,0.9566666666666667,0.9771929824561404,0.5666666666666667,0.5666666666666667,0.5666666666666667,4.708254098892212,Construction Error
1,2,0,9,1,0.959,0.978421052631579,0.59,0.59,0.59,4.800116062164307,Construction Error
1,2,0,9,2,0.959,0.978421052631579,0.59,0.59,0.59,4.806823015213013,Construction Error
1,2,0,10,1,0.9593333333333334,0.9785964912280701,0.5933333333333334,0.5933333333333334,0.5933333333333334,5.039067268371582,Construction Error
1,2,0,10,2,0.9596666666666667,0.9787719298245614,0.5966666666666667,0.5966666666666667,0.5966666666666667,5.04245662689209,Construction Error
1,2,1,1,1,0.955,0.9763157894736842,0.55,0.55,0.55,4.203220367431641,Construction Error
1,2,1,1,2,0.929,0.9626315789473684,0.29,0.29,0.29,4.206122159957886,Construction Error
1,2,1,2,1,0.9736666666666667,0.986140350877193,0.7366666666666667,0.7366666666666667,0.7366666666666667,4.942945957183838,Construction Error
1,2,1,2,2,0.9496666666666667,0.9735087719298245,0.49666666666666665,0.49666666666666665,0.49666666666666665,4.942255258560181,Construction Error
1,2,1,3,1,0.9533333333333334,0.9754385964912281,0.5333333333333333,0.5333333333333333,0.5333333333333333,4.692488193511963,Construction Error
1,2,1,3,2,0.941,0.9689473684210527,0.41,0.41,0.41,4.685639142990112,Construction Error
1,2,1,4,1,0.972,0.9852631578947368,0.72,0.72,0.72,4.720908880233765,Construction Error
1,2,1,4,2,0.9583333333333334,0.9780701754385965,0.5833333333333334,0.5833333333333334,0.5833333333333334,4.727905511856079,Construction Error
1,2,1,5,1,0.9716666666666667,0.9850877192982456,0.7166666666666667,0.7166666666666667,0.7166666666666667,4.7030322551727295,Construction Error
1,2,1,5,2,0.9603333333333334,0.9791228070175438,0.6033333333333334,0.6033333333333334,0.6033333333333334,4.710318088531494,Construction Error
1,2,1,6,1,0.9693333333333334,0.983859649122807,0.6933333333333334,0.6933333333333334,0.6933333333333334,6.243492841720581,Construction Error
1,2,1,6,2,0.9596666666666667,0.9787719298245614,0.5966666666666667,0.5966666666666667,0.5966666666666667,6.247209787368774,Construction Error
1,2,1,7,1,0.9566666666666667,0.9771929824561404,0.5666666666666667,0.5666666666666667,0.5666666666666667,4.810343503952026,Construction Error
1,2,1,7,2,0.9556666666666667,0.9766666666666667,0.5566666666666666,0.5566666666666666,0.5566666666666666,4.813541889190674,Construction Error
1,2,1,8,1,0.953,0.9752631578947368,0.53,0.53,0.53,4.739787340164185,Construction Error
1,2,1,8,2,0.9563333333333334,0.9770175438596491,0.5633333333333334,0.5633333333333334,0.5633333333333334,4.745557069778442,Construction Error
1,2,1,9,1,0.954,0.9757894736842105,0.54,0.54,0.54,4.895739555358887,Construction Error
1,2,1,9,2,0.9536666666666667,0.9756140350877193,0.5366666666666666,0.5366666666666666,0.5366666666666666,4.895959854125977,Construction Error
1,2,1,10,1,0.955,0.9763157894736842,0.55,0.55,0.55,5.044076204299927,Construction Error
1,2,1,10,2,0.9526666666666667,0.9750877192982457,0.5266666666666666,0.5266666666666666,0.5266666666666666,5.043374300003052,Construction Error
1,2,2,1,1,0.9563333333333334,0.9770175438596491,0.5633333333333334,0.5633333333333334,0.5633333333333334,4.1895904541015625,Construction Error
1,2,2,1,2,0.9293333333333333,0.9628070175438597,0.29333333333333333,0.29333333333333333,0.29333333333333333,4.184292793273926,Construction Error
1,2,2,2,1,0.968,0.9831578947368421,0.68,0.68,0.68,4.6570351123809814,Construction Error
1,2,2,2,2,0.947,0.9721052631578947,0.47,0.47,0.47,4.65106725692749,Construction Error
