digit_Ab,iteration,k,FPrate,accuracy,f1,precision,recall,time
9,0,1,0.05263157894736842,0.9,0.0,0.0,0.0,0.427584171295166
9,0,2,0.025614035087719297,0.9513333333333334,0.5133333333333333,0.5133333333333333,0.5133333333333333,0.40712809562683105
9,0,3,0.018947368421052633,0.964,0.64,0.64,0.64,0.4598090648651123
9,0,4,0.028421052631578948,0.946,0.46,0.46,0.46,0.4570953845977783
9,0,5,0.025789473684210525,0.951,0.51,0.51,0.51,0.5108520984649658
9,0,6,0.03070175438596491,0.9416666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4996907711029053
9,0,7,0.03070175438596491,0.9416666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.6250319480895996
9,0,8,0.03631578947368421,0.931,0.31,0.31,0.31,0.6044838428497314
9,0,9,0.035263157894736843,0.933,0.33,0.33,0.33,0.4963200092315674
9,0,10,0.03701754385964912,0.9296666666666666,0.2966666666666667,0.2966666666666667,0.2966666666666667,0.4716980457305908
9,0,11,0.039473684210526314,0.925,0.25,0.25,0.25,0.5291547775268555
9,0,12,0.03754385964912281,0.9286666666666666,0.2866666666666667,0.2866666666666667,0.2866666666666667,0.5116350650787354
9,0,13,0.03736842105263158,0.929,0.29,0.29,0.29,0.5113341808319092
9,0,14,0.03754385964912281,0.9286666666666666,0.2866666666666667,0.2866666666666667,0.2866666666666667,0.6068410873413086
9,0,15,0.03508771929824561,0.9333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.599768877029419
9,0,16,0.03508771929824561,0.9333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5510799884796143
9,0,32,0.034210526315789476,0.935,0.35,0.35,0.35,0.8549201488494873
9,0,64,0.034035087719298245,0.9353333333333333,0.35333333333333333,0.35333333333333333,0.35333333333333333,1.079070806503296
9,0,128,0.034035087719298245,0.9353333333333333,0.35333333333333333,0.35333333333333333,0.35333333333333333,1.2811558246612549
9,0,256,0.035964912280701755,0.9316666666666666,0.31666666666666665,0.31666666666666665,0.31666666666666665,2.713494062423706
9,0,512,0.03736842105263158,0.929,0.29,0.29,0.29,4.520708799362183
9,0,784,0.04964912280701755,0.9056666666666666,0.056666666666666664,0.056666666666666664,0.056666666666666664,4.435018062591553
9,1,1,0.05228070175438596,0.9006666666666666,0.006666666666666668,0.006666666666666667,0.006666666666666667,0.38173508644104004
9,1,2,0.028421052631578948,0.946,0.46,0.46,0.46,0.4035332202911377
9,1,3,0.019649122807017545,0.9626666666666667,0.6266666666666667,0.6266666666666667,0.6266666666666667,0.4010767936706543
9,1,4,0.02912280701754386,0.9446666666666667,0.44666666666666666,0.44666666666666666,0.44666666666666666,0.4103109836578369
9,1,5,0.027192982456140352,0.9483333333333334,0.48333333333333334,0.48333333333333334,0.48333333333333334,0.3915688991546631
9,1,6,0.03175438596491228,0.9396666666666667,0.39666666666666667,0.39666666666666667,0.39666666666666667,0.5080430507659912
