ANN_model,digit_Ab,iteration,k,L,accuracy,TNrate,recall,f1,precision,time,metric
1,1,3,3,1,0.907,0.951052632,0.07,0.07,0.07,4.621534586,Construction Error
1,1,3,3,2,0.901,0.947894737,0.01,0.01,0.01,4.625763178,Construction Error
1,1,3,4,1,0.941666667,0.969298246,0.416666667,0.416666667,0.416666667,4.732569218,Construction Error
1,1,3,4,2,0.904333333,0.949649123,0.043333333,0.043333333,0.043333333,4.734931469,Construction Error
1,1,3,5,1,0.915666667,0.955614035,0.156666667,0.156666667,0.156666667,4.683842659,Construction Error
1,1,3,5,2,0.905333333,0.950175439,0.053333333,0.053333333,0.053333333,4.686097383,Construction Error
1,1,3,6,1,0.906,0.950526316,0.06,0.06,0.06,4.676151037,Construction Error
1,1,3,6,2,0.903666667,0.949298246,0.036666667,0.036666667,0.036666667,4.678981304,Construction Error
1,1,3,7,1,0.909333333,0.952280702,0.093333333,0.093333333,0.093333333,4.75973773,Construction Error
1,1,3,7,2,0.905666667,0.950350877,0.056666667,0.056666667,0.056666667,4.759587049,Construction Error
1,1,3,8,1,0.903,0.948947368,0.03,0.03,0.03,4.641218424,Construction Error
1,1,3,8,2,0.902333333,0.948596491,0.023333333,0.023333333,0.023333333,4.6420362,Construction Error
1,1,3,9,1,0.906,0.950526316,0.06,0.06,0.06,4.792418957,Construction Error
1,1,3,9,2,0.905666667,0.950350877,0.056666667,0.056666667,0.056666667,4.787558317,Construction Error
1,1,3,10,1,0.908666667,0.951929825,0.086666667,0.086666667,0.086666667,5.071565151,Construction Error
1,1,3,10,2,0.908666667,0.951929825,0.086666667,0.086666667,0.086666667,5.068103313,Construction Error
1,1,4,1,1,0.937333333,0.967017544,0.373333333,0.373333333,0.373333333,4.647122145,Construction Error
1,1,4,1,2,0.902333333,0.948596491,0.023333333,0.023333333,0.023333333,4.650285482,Construction Error
1,1,4,2,1,0.941,0.968947368,0.41,0.41,0.41,4.751975298,Construction Error
1,1,4,2,2,0.902,0.948421053,0.02,0.02,0.02,4.752458334,Construction Error
1,1,4,3,1,0.929333333,0.962807018,0.293333333,0.293333333,0.293333333,4.674535275,Construction Error
1,1,4,3,2,0.902333333,0.948596491,0.023333333,0.023333333,0.023333333,4.674228191,Construction Error
1,1,4,4,1,0.964333333,0.98122807,0.643333333,0.643333333,0.643333333,4.731176615,Construction Error
1,1,4,4,2,0.907,0.951052632,0.07,0.07,0.07,4.731690168,Construction Error
1,1,4,5,1,0.945333333,0.97122807,0.453333333,0.453333333,0.453333333,4.664384604,Construction Error
1,1,4,5,2,0.907333333,0.95122807,0.073333333,0.073333333,0.073333333,4.667621374,Construction Error
1,1,4,6,1,0.904666667,0.949824561,0.046666667,0.046666667,0.046666667,4.74557519,Construction Error
1,1,4,6,2,0.904,0.949473684,0.04,0.04,0.04,4.740886211,Construction Error
1,1,4,7,1,0.911,0.953157895,0.11,0.11,0.11,4.727056503,Construction Error
1,1,4,7,2,0.905333333,0.950175439,0.053333333,0.053333333,0.053333333,4.722048283,Construction Error
1,1,4,8,1,0.910666667,0.952982456,0.106666667,0.106666667,0.106666667,4.749854088,Construction Error
1,1,4,8,2,0.907333333,0.95122807,0.073333333,0.073333333,0.073333333,4.745178938,Construction Error
1,1,4,9,1,0.906666667,0.950877193,0.066666667,0.066666667,0.066666667,4.776312351,Construction Error
1,1,4,9,2,0.904333333,0.949649123,0.043333333,0.043333333,0.043333333,4.769473314,Construction Error
1,1,4,10,1,0.904666667,0.949824561,0.046666667,0.046666667,0.046666667,4.97215414,Construction Error
1,1,4,10,2,0.904666667,0.949824561,0.046666667,0.046666667,0.046666667,4.976481438,Construction Error
