digit_Ab,iteration,k,FPrate,accuracy,f1,precision,recall,time
1,3,16,0.050877193,0.903333333,0.033333333,0.033333333,0.033333333,0.564985037
1,3,32,0.05122807,0.902666667,0.026666667,0.026666667,0.026666667,1.047982216
1,3,64,0.051403509,0.902333333,0.023333333,0.023333333,0.023333333,0.95435214
1,3,128,0.051403509,0.902333333,0.023333333,0.023333333,0.023333333,1.28165102
1,3,256,0.050701754,0.903666667,0.036666667,0.036666667,0.036666667,2.130304575
1,3,512,0.050877193,0.903333333,0.033333333,0.033333333,0.033333333,4.245737791
1,3,784,0.052105263,0.901,0.01,0.01,0.01,6.038870096
1,4,1,0.052631579,0.9,0,0,0,0.390975952
1,4,2,0.020175439,0.961666667,0.616666667,0.616666667,0.616666667,0.364214897
1,4,3,0.007719298,0.985333333,0.853333333,0.853333333,0.853333333,0.332115889
1,4,4,0.023157895,0.956,0.56,0.56,0.56,0.39865303
1,4,5,0.034736842,0.934,0.34,0.34,0.34,0.367149115
1,4,6,0.036842105,0.93,0.3,0.3,0.3,0.600002766
1,4,7,0.036666667,0.930333333,0.303333333,0.303333333,0.303333333,1.954841137
1,4,8,0.041052632,0.922,0.22,0.22,0.22,0.485960007
1,4,9,0.043859649,0.916666667,0.166666667,0.166666667,0.166666667,0.859584093
1,4,10,0.045263158,0.914,0.14,0.14,0.14,1.351677895
1,4,11,0.045614035,0.913333333,0.133333333,0.133333333,0.133333333,1.6267519
1,4,12,0.046491228,0.911666667,0.116666667,0.116666667,0.116666667,1.012403965
1,4,13,0.047017544,0.910666667,0.106666667,0.106666667,0.106666667,0.593733072
1,4,14,0.048421053,0.908,0.08,0.08,0.08,0.537142754
1,4,15,0.049122807,0.906666667,0.066666667,0.066666667,0.066666667,0.737354994
1,4,16,0.050526316,0.904,0.04,0.04,0.04,0.594618797
1,4,32,0.051403509,0.902333333,0.023333333,0.023333333,0.023333333,0.754230022
1,4,64,0.05122807,0.902666667,0.026666667,0.026666667,0.026666667,1.050623894
1,4,128,0.050877193,0.903333333,0.033333333,0.033333333,0.033333333,1.183549881
1,4,256,0.050350877,0.904333333,0.043333333,0.043333333,0.043333333,3.020380974
1,4,512,0.050526316,0.904,0.04,0.04,0.04,6.822246313
1,4,784,0.052280702,0.900666667,0.006666667,0.006666667,0.006666667,4.815536261
