digit_Ab,iteration,k,FPrate,accuracy,f1,precision,recall,time
10,0,1,0.03140350877192982,0.9403333333333334,0.40333333333333327,0.4033333333333333,0.4033333333333333,5.253540992736816
10,0,2,0.03245614035087719,0.9383333333333334,0.38333333333333336,0.38333333333333336,0.38333333333333336,8.962985038757324
10,0,3,0.03280701754385965,0.9376666666666666,0.37666666666666665,0.37666666666666665,0.37666666666666665,3.733644723892212
10,0,4,0.03263157894736842,0.938,0.38,0.38,0.38,4.285702228546143
10,0,5,0.03245614035087719,0.9383333333333334,0.38333333333333336,0.38333333333333336,0.38333333333333336,4.199835777282715
10,0,6,0.03245614035087719,0.9383333333333334,0.38333333333333336,0.38333333333333336,0.38333333333333336,4.815845966339111
10,0,7,0.032280701754385965,0.9386666666666666,0.38666666666666666,0.38666666666666666,0.38666666666666666,4.039041996002197
10,0,8,0.032280701754385965,0.9386666666666666,0.38666666666666666,0.38666666666666666,0.38666666666666666,4.730681896209717
10,0,9,0.032105263157894734,0.939,0.39,0.39,0.39,4.4012486934661865
10,0,10,0.03175438596491228,0.9396666666666667,0.39666666666666667,0.39666666666666667,0.39666666666666667,5.897773742675781
10,0,11,0.031578947368421054,0.94,0.4000000000000001,0.4,0.4,5.298524856567383
10,0,12,0.031578947368421054,0.94,0.4000000000000001,0.4,0.4,5.314643859863281
10,0,13,0.031228070175438598,0.9406666666666667,0.4066666666666667,0.4066666666666667,0.4066666666666667,5.394003868103027
10,0,14,0.031228070175438598,0.9406666666666667,0.4066666666666667,0.4066666666666667,0.4066666666666667,5.32174825668335
10,0,15,0.03105263157894737,0.941,0.41,0.41,0.41,5.895992040634155
10,0,16,0.03105263157894737,0.941,0.41,0.41,0.41,5.405690670013428
10,0,32,0.030877192982456142,0.9413333333333334,0.41333333333333333,0.41333333333333333,0.41333333333333333,4.468574047088623
10,0,64,0.030175438596491227,0.9426666666666667,0.42666666666666675,0.4266666666666667,0.4266666666666667,4.612876892089844
10,0,128,0.029298245614035087,0.9443333333333334,0.44333333333333336,0.44333333333333336,0.44333333333333336,5.376996040344238
10,0,256,0.030350877192982455,0.9423333333333334,0.42333333333333334,0.42333333333333334,0.42333333333333334,5.918443918228149
10,0,512,0.03982456140350877,0.9243333333333333,0.24333333333333335,0.24333333333333335,0.24333333333333335,5.309739112854004
10,0,784,0.05263157894736842,0.9,0.0,0.0,0.0,4.514986991882324
10,1,1,0.03105263157894737,0.941,0.41,0.41,0.41,4.749436855316162
10,1,2,0.032280701754385965,0.9386666666666666,0.38666666666666666,0.38666666666666666,0.38666666666666666,4.073101997375488
10,1,3,0.032105263157894734,0.939,0.39,0.39,0.39,3.8509409427642822
10,1,4,0.03263157894736842,0.938,0.38,0.38,0.38,3.844486951828003
10,1,5,0.03175438596491228,0.9396666666666667,0.39666666666666667,0.39666666666666667,0.39666666666666667,4.31817102432251
10,1,6,0.03192982456140351,0.9393333333333334,0.3933333333333333,0.3933333333333333,0.3933333333333333,5.420269012451172
10,1,7,0.032105263157894734,0.939,0.39,0.39,0.39,4.1553380489349365
10,1,8,0.032105263157894734,0.939,0.39,0.39,0.39,5.503443002700806
10,1,9,0.032105263157894734,0.939,0.39,0.39,0.39,6.318130016326904
10,1,10,0.032105263157894734,0.939,0.39,0.39,0.39,5.430187940597534
10,1,11,0.032105263157894734,0.939,0.39,0.39,0.39,6.6715850830078125
10,1,12,0.032105263157894734,0.939,0.39,0.39,0.39,7.160231828689575
10,1,13,0.032105263157894734,0.939,0.39,0.39,0.39,5.9635961055755615
10,1,14,0.032105263157894734,0.939,0.39,0.39,0.39,5.342590808868408
10,1,15,0.032105263157894734,0.939,0.39,0.39,0.39,4.937157154083252
10,1,16,0.032105263157894734,0.939,0.39,0.39,0.39,5.734483003616333
10,1,32,0.030526315789473683,0.942,0.41999999999999993,0.42,0.42,5.136589050292969
10,1,64,0.029298245614035087,0.9443333333333334,0.44333333333333336,0.44333333333333336,0.44333333333333336,5.725210905075073
10,1,128,0.02912280701754386,0.9446666666666667,0.44666666666666666,0.44666666666666666,0.44666666666666666,5.909136772155762
10,1,256,0.030877192982456142,0.9413333333333334,0.41333333333333333,0.41333333333333333,0.41333333333333333,8.674896240234375
10,1,512,0.03754385964912281,0.9286666666666666,0.2866666666666667,0.2866666666666667,0.2866666666666667,10.777475118637085
10,1,784,0.05263157894736842,0.9,0.0,0.0,0.0,5.156419038772583
10,2,1,0.031228070175438598,0.9406666666666667,0.4066666666666667,0.4066666666666667,0.4066666666666667,5.181159734725952
10,2,2,0.032105263157894734,0.939,0.39,0.39,0.39,4.925724029541016
10,2,3,0.03263157894736842,0.938,0.38,0.38,0.38,4.222951889038086
10,2,4,0.03280701754385965,0.9376666666666666,0.37666666666666665,0.37666666666666665,0.37666666666666665,4.427897930145264
10,2,5,0.03245614035087719,0.9383333333333334,0.38333333333333336,0.38333333333333336,0.38333333333333336,4.535882949829102
