digit_Ab,iteration,k,FPrate,accuracy,f1,precision,recall,time
8,0,1,0.04035087719298246,0.9233333333333333,0.23333333333333334,0.23333333333333334,0.23333333333333334,4.545818090438843
8,0,2,0.04105263157894737,0.922,0.22,0.22,0.22,4.504469156265259
8,0,3,0.04175438596491228,0.9206666666666666,0.20666666666666667,0.20666666666666667,0.20666666666666667,3.9156270027160645
8,0,4,0.0412280701754386,0.9216666666666666,0.21666666666666667,0.21666666666666667,0.21666666666666667,4.274889945983887
8,0,5,0.04192982456140351,0.9203333333333333,0.20333333333333334,0.20333333333333334,0.20333333333333334,4.515773773193359
8,0,6,0.04192982456140351,0.9203333333333333,0.20333333333333334,0.20333333333333334,0.20333333333333334,4.017704248428345
8,0,7,0.04192982456140351,0.9203333333333333,0.20333333333333334,0.20333333333333334,0.20333333333333334,4.1693949699401855
8,0,8,0.04192982456140351,0.9203333333333333,0.20333333333333334,0.20333333333333334,0.20333333333333334,4.63283371925354
8,0,9,0.04192982456140351,0.9203333333333333,0.20333333333333334,0.20333333333333334,0.20333333333333334,4.273421049118042
8,0,10,0.042105263157894736,0.92,0.20000000000000004,0.2,0.2,3.962430000305176
8,0,11,0.041403508771929824,0.9213333333333333,0.21333333333333337,0.21333333333333335,0.21333333333333335,3.9471099376678467
8,0,12,0.041403508771929824,0.9213333333333333,0.21333333333333337,0.21333333333333335,0.21333333333333335,4.206129789352417
8,0,13,0.0412280701754386,0.9216666666666666,0.21666666666666667,0.21666666666666667,0.21666666666666667,3.697237968444824
8,0,14,0.041403508771929824,0.9213333333333333,0.21333333333333337,0.21333333333333335,0.21333333333333335,3.618664026260376
8,0,15,0.0412280701754386,0.9216666666666666,0.21666666666666667,0.21666666666666667,0.21666666666666667,3.8097379207611084
8,0,16,0.0412280701754386,0.9216666666666666,0.21666666666666667,0.21666666666666667,0.21666666666666667,4.062817096710205
8,0,32,0.04105263157894737,0.922,0.22,0.22,0.22,3.849245071411133
8,0,64,0.040175438596491225,0.9236666666666666,0.23666666666666666,0.23666666666666666,0.23666666666666666,4.123454809188843
8,0,128,0.037894736842105266,0.928,0.28,0.28,0.28,3.645246982574463
8,0,256,0.0387719298245614,0.9263333333333333,0.2633333333333333,0.2633333333333333,0.2633333333333333,3.6688880920410156
8,0,512,0.045087719298245614,0.9143333333333333,0.14333333333333334,0.14333333333333334,0.14333333333333334,4.836461067199707
8,0,784,0.05263157894736842,0.9,0.0,0.0,0.0,4.497635126113892
8,1,1,0.04263157894736842,0.919,0.19,0.19,0.19,3.8697919845581055
8,1,2,0.04350877192982456,0.9173333333333333,0.17333333333333334,0.17333333333333334,0.17333333333333334,3.802109956741333
8,1,3,0.04421052631578947,0.916,0.16,0.16,0.16,4.761247873306274
8,1,4,0.043333333333333335,0.9176666666666666,0.17666666666666667,0.17666666666666667,0.17666666666666667,4.08964729309082
8,1,5,0.04473684210526316,0.915,0.15,0.15,0.15,3.6776177883148193
8,1,6,0.04421052631578947,0.916,0.16,0.16,0.16,3.564497232437134
8,1,7,0.044035087719298247,0.9163333333333333,0.16333333333333333,0.16333333333333333,0.16333333333333333,3.953551769256592
8,1,8,0.04421052631578947,0.916,0.16,0.16,0.16,4.104992866516113
8,1,9,0.043859649122807015,0.9166666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,3.7099180221557617
8,1,10,0.043859649122807015,0.9166666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,3.997488021850586
8,1,11,0.04368421052631579,0.917,0.17,0.17,0.17,3.664080858230591
8,1,12,0.04368421052631579,0.917,0.17,0.17,0.17,3.8360228538513184
8,1,13,0.04350877192982456,0.9173333333333333,0.17333333333333334,0.17333333333333334,0.17333333333333334,3.7850518226623535
8,1,14,0.043859649122807015,0.9166666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,3.7179620265960693
8,1,15,0.04350877192982456,0.9173333333333333,0.17333333333333334,0.17333333333333334,0.17333333333333334,3.836380958557129
8,1,16,0.04350877192982456,0.9173333333333333,0.17333333333333334,0.17333333333333334,0.17333333333333334,3.699747085571289
8,1,32,0.04350877192982456,0.9173333333333333,0.17333333333333334,0.17333333333333334,0.17333333333333334,4.8465471267700195
8,1,64,0.041578947368421056,0.921,0.20999999999999996,0.21,0.21,4.0137200355529785
8,1,128,0.03894736842105263,0.926,0.26,0.26,0.26,3.468001127243042
8,1,256,0.040175438596491225,0.9236666666666666,0.23666666666666666,0.23666666666666666,0.23666666666666666,3.799320936203003
8,1,512,0.045789473684210526,0.913,0.13,0.13,0.13,3.554241180419922
8,1,784,0.05263157894736842,0.9,0.0,0.0,0.0,3.385819911956787
8,2,1,0.03929824561403509,0.9253333333333333,0.25333333333333335,0.25333333333333335,0.25333333333333335,4.069253921508789
8,2,2,0.04,0.924,0.24,0.24,0.24,3.890253782272339
8,2,3,0.04035087719298246,0.9233333333333333,0.23333333333333334,0.23333333333333334,0.23333333333333334,3.6380529403686523
8,2,4,0.040175438596491225,0.9236666666666666,0.23666666666666666,0.23666666666666666,0.23666666666666666,3.7310028076171875
8,2,5,0.04052631578947368,0.923,0.23,0.23,0.23,3.8404178619384766
8,2,6,0.04035087719298246,0.9233333333333333,0.23333333333333334,0.23333333333333334,0.23333333333333334,3.7154130935668945
8,2,7,0.04052631578947368,0.923,0.23,0.23,0.23,3.7938590049743652
8,2,8,0.04052631578947368,0.923,0.23,0.23,0.23,3.7685749530792236
8,2,9,0.04052631578947368,0.923,0.23,0.23,0.23,3.8079631328582764
8,2,10,0.04052631578947368,0.923,0.23,0.23,0.23,3.8356239795684814
8,2,11,0.04035087719298246,0.9233333333333333,0.23333333333333334,0.23333333333333334,0.23333333333333334,3.726439952850342
8,2,12,0.04035087719298246,0.9233333333333333,0.23333333333333334,0.23333333333333334,0.23333333333333334,3.77736496925354
8,2,13,0.04035087719298246,0.9233333333333333,0.23333333333333334,0.23333333333333334,0.23333333333333334,4.402045249938965
8,2,14,0.04052631578947368,0.923,0.23,0.23,0.23,4.261174917221069
8,2,15,0.04035087719298246,0.9233333333333333,0.23333333333333334,0.23333333333333334,0.23333333333333334,4.457134008407593
